date,Indonesia_Malaysia,Indonesia_Philippines,Indonesia_Singapore,Indonesia_Thailand,Indonesia_Vietnam,Malaysia_Philippines,Malaysia_Singapore,Malaysia_Thailand,Malaysia_Vietnam,Philippines_Singapore,Philippines_Thailand,Philippines_Vietnam,Singapore_Thailand,Singapore_Vietnam,Thailand_Vietnam
2016-08-30,0.3409796651507478,0.42026162774151143,0.4380343717950236,0.22981165138325574,-0.07966911767688355,0.47162126853065184,0.39626416929615416,0.17052850551339302,0.09150070892833656,0.3910070842114227,-0.02313779060100484,0.11067518029820872,0.3405010577684734,0.12061304513736452,0.33636791782663095
2016-09-01,0.36433352518544176,0.43016840550721985,0.45046897187867085,0.2527706587198396,-0.0570109581331207,0.4831633958731123,0.42048619636192164,0.22380944553872725,0.13074797437184743,0.40245171220240805,0.00410853237336376,0.12675557930907763,0.36244331263182705,0.14118223253704792,0.35698713281429245
2016-09-05,0.3753825651254744,0.42072553138062735,0.4487233924244236,0.052299368249213836,-0.07498943828702105,0.4454371814698826,0.4812813175777489,-0.1165506810442862,0.0685924257230246,0.33885534160610914,0.05829324357033841,0.13716929835752428,-0.17042992773531687,0.04428005742378524,0.3554545036395826
2016-09-06,0.3690401156476908,0.39015166828972003,0.4302702678345493,0.05490821025552771,-0.07751985364557051,0.29320768433208894,0.5742574241949834,-0.08936948905882043,0.04562527174468725,0.18300806073164566,0.045873973179655546,0.14319854318882527,-0.1337896391254159,0.02095329966004157,0.35305262813055693
2016-09-07,0.3679612485226455,0.32393771820471123,0.42846625975571606,0.05006312158249871,-0.0816260110769377,0.26669798821575297,0.5744933915341284,-0.08632800433412621,0.047835722345796104,0.17664587307880394,0.09706321354468092,0.18668567268082287,-0.12874411645757908,0.025144053516158574,0.36296957775401634
2016-09-08,0.36182338122071633,0.30250819957764735,0.4270634943494621,0.07559483316795293,-0.09514733544991381,0.27213031006739874,0.5736388739830837,-0.10103650209256816,0.05788460698054473,0.1737129032022348,0.018275835919057373,0.21655748504980235,-0.11980744303043436,0.02486882265882928,0.25687918024684114
2016-09-09,0.40455553701416297,0.43146967829807714,0.4755043754945667,0.12206299188517836,-0.09193526484397062,0.32009188227287916,0.5924841413767375,-0.07664097139672543,0.0528423249098725,0.24282653941743773,0.05838003935172064,0.19365969446482326,-0.08982716024753906,0.019520013020037637,0.25295304751106473
2016-09-13,0.47207955738421764,0.4506859777447768,0.5532785184590946,0.11153221166426142,0.028601424253895724,0.3472262450908898,0.6561282984869965,-0.07600148442501307,0.16553349979191181,0.28028289198129214,0.056026825828080336,0.22928737900128268,-0.08273215182915256,0.19435340848283927,0.2337795234878487
2016-09-14,0.5481403306104781,0.43795296459113126,0.5483366369417274,0.0630783851312902,0.07635430100318098,0.3164916797135235,0.6038531374452129,-0.1311142149555129,0.21956301481634338,0.2820487650147936,0.05092673580132702,0.23184884170920741,-0.09229609116857408,0.2039201074158596,0.20890094189560354
2016-09-15,0.36201161147091454,0.582206331983802,0.4694009865282197,0.08291013157376086,0.05042174615268661,0.10604289756919841,0.5949822033113384,-0.14134751496974632,0.2221623446690626,0.2048854776017693,0.07572741301304434,0.16551652214440368,-0.09446715183344319,0.20517265786004488,0.2061071108207108
2016-09-19,0.34808372402480675,0.4566017701212176,0.4940737877521516,0.1395522051937048,0.0612184413570356,0.11486305367904362,0.5252641866255247,-0.1477460815156551,0.21852244988764488,0.01190395656731263,-0.07632475664436379,0.1256467038834766,0.06459171246956574,0.21393777765241903,0.21569245182055868
2016-09-20,0.33549726463900853,0.42244399048620285,0.4914061479871471,0.15253832190950456,0.03973029129720852,0.1398175657455788,0.5232818331138354,-0.16923172712463339,0.23999346245806044,0.015278099456533972,-0.12617527527605937,0.18000654895548207,0.05967288863593289,0.21081372998589817,0.14815383105822388
2016-09-21,0.34331151771615065,0.41815531078765633,0.48025913907172624,0.16996302176154066,0.0706622693238561,0.13919132116102284,0.5170458073601621,-0.15372249174287284,0.25307963533344313,0.015299979147473096,-0.12493344558945824,0.1749401363458021,0.0528319936443686,0.1952529592234866,0.17648693605551624
2016-09-22,0.36673622061944505,0.43509949525288916,0.467814873089806,0.19372020449490324,0.08665335703750839,0.20973840295394952,0.46601646781780404,-0.06728309413032932,0.27884591789447205,0.002337587646189717,-0.067937754169907,0.1983844662616997,0.04047853343225532,0.18692545031153518,0.19759139036733506
2016-09-23,0.3672727557025749,0.42833163307636757,0.46770077506406094,0.18720895239275967,0.0889902385113494,0.2035269089491861,0.46682147529710494,-0.07194815834580817,0.2808561263233512,-0.010997795208413505,-0.046475121382933235,0.18040378709924476,0.022958417348363097,0.19711011964759975,0.17476941065038168
2016-09-26,0.3713273563825473,0.4548836040263795,0.4736815194993024,0.1911741526428896,0.06286633654846423,0.21163121031820079,0.46935099872956876,-0.06939830490435313,0.2698252114152343,0.014094091243800188,-0.03289178311669034,0.1321090553904107,0.026245645570464913,0.18317722837199377,0.167664926120406
2016-09-27,0.2963105109800479,0.3521978629140789,0.4826983704096847,0.1778665784623906,0.16526151444621665,0.2452062430499731,0.4387137427688224,-0.06525640098902256,0.17891336661506307,-0.013011969323403098,-0.02796367315510128,0.029795930440858584,0.024227802189753227,0.21045714589494804,0.14931473993217803
2016-09-28,0.2962823060266397,0.3521312944399726,0.4818449251083736,0.17394178277372846,0.16580383136845653,0.24441572556673255,0.4384295197894341,-0.06455365858118796,0.17845293956894473,-0.015850185233191975,-0.039274428751533544,0.03535850058549913,0.02921509364595758,0.20720172473363244,0.1368885624141355
2016-09-29,0.29503973552909724,0.33281082729009304,0.4609486791429664,0.17467577119898423,0.16674310204535822,0.2889483313967695,0.4650831403974577,-0.03358181279093028,0.1882147264436495,0.11235013775208791,0.027806276941820005,0.060982944796263136,0.08242890271057454,0.21962917516997385,0.1470223095143929
2016-09-30,0.4275761479541352,0.3904142545956755,0.4935689306933755,0.20868294333666176,0.2130341004452518,0.3753652813970831,0.488150641615823,0.050273006754002834,0.24932462994706941,0.15786677654313364,0.060562220331022654,0.10122644160977043,0.10692337040102697,0.24620336943511872,0.16615348450206172
2016-10-04,0.47915865901549537,0.44779398444666313,0.512902137108316,0.34658386916199174,0.14158007884978085,0.4119879130258702,0.508802457577386,0.13808511383017455,0.21550127182892329,0.19356280288739827,0.14809333797029603,0.07227805200153276,0.16508224848031613,0.22266213889305259,0.11215329730360764
2016-10-05,0.45991500642273864,0.4745532174208728,0.5107397527515262,0.3402311394813817,0.1087222883708685,0.38988611836598225,0.5059435051298804,0.13774741227669413,0.21902588731035563,0.19858921792116943,0.14506888402571844,0.03657938606785838,0.1651439794273709,0.21401115923328187,0.11035605084512416
2016-10-06,0.4502341613859472,0.4765407840255678,0.5075909058816157,0.336433055258152,0.10887423508658725,0.3788020722331225,0.5065341145312043,0.14237362243564847,0.2170330302481469,0.19542551334581,0.14096135100233984,0.03689387635929661,0.16667952580517564,0.2136542120818023,0.10991500101760909
2016-10-07,0.4523818318816468,0.4879109850061133,0.5186784303225225,0.3521282279564135,0.13815005933752322,0.3818632189122365,0.5079391082633322,0.14866634842919735,0.22293142631207272,0.21307281004376868,0.1607619451001971,0.06792129905228834,0.18659271471538247,0.23943803557797108,0.14104050600438897
2016-10-10,0.4515680996486099,0.4936704308777029,0.5221806687668096,0.32705939515257826,0.1626310037817312,0.3786500500036183,0.5069998224090213,0.12210497446622222,0.1947554768449265,0.22298664739905066,0.22352994122946981,0.14109960984837033,0.19734227178905778,0.2469266013298418,0.4260872844367065
