Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,China,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Mexico,Pakistan,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China
1991,4,,,,153.1076816,128.0671246,,,120.8372825,,,,66.95183818,,87.97007731,52.1923027,,,,,,,93.01464313,,
1991,5,,,,119.1041995,92.58369005,,,116.2811334,,,,60.22981822,,82.53017114,34.96854019,,,,,,,82.14782293,,
1991,6,,,,63.61285631,93.47289497,,,149.9643327,,,,55.98497838,,66.06326504,46.4342804,,,,,,,85.91903535,,
1991,7,,,,86.6436767,90.35232422,,,98.35049349,,,,61.87797743,,76.33519326,29.3201828,,,,,,,80.64899575,,
1991,8,,,,68.60401889,76.42750818,,,97.80922498,,,,98.79740483,,97.82446547,127.9773941,,,,,,,99.12208764,,
1991,9,,,,79.24053714,115.7734444,,,76.76366457,,,,57.32902209,,81.19778816,84.74686432,,,,,,,127.2944517,,
1991,10,,,,136.5848918,133.4071263,,,128.8790615,,,,96.18861476,,85.37290138,38.97079849,,,,,,,108.1209637,,
1991,11,,,,143.6332903,112.891151,,,99.00207953,,,,134.897546,,87.5474412,142.0084991,,,,,,,140.6123629,,
1991,12,,,,59.77561967,137.7946614,,,103.4796819,,,,135.8068263,,93.65852536,152.4228516,,,,,,,171.0109782,,
1992,1,,,,67.27913741,127.4257807,,,64.89086358,,,,107.9701711,,86.63191579,68.06641388,,,,,,,116.3648599,,
1992,2,,,,76.46195521,114.8891639,,,73.68728218,,,,59.5826828,,80.52536351,35.32372284,,,,,,,154.5969439,,
1992,3,,,,12.84349432,136.2338144,,,68.80318894,,,,64.22705407,,84.06695809,35.29611969,,,,,,,96.82840989,,
1992,4,,,,34.62159338,114.8409646,,,86.34409781,,,,97.28144885,,93.82271981,68.39157867,,,,,,,89.85422177,,
1992,5,,,,16.70135291,73.99919554,,,112.5864376,,,,82.7090579,,87.64698399,46.31071854,,,,,,,78.68047116,,
1992,6,,,,81.78667601,101.0193308,,,138.4561734,,,,180.8206842,,100.4698426,35.90690994,,,,,,,122.2935049,,
1992,7,,,,107.3151768,74.15174461,,,125.3459312,,,,54.16607527,,102.1722405,65.81402588,,,,,,,119.613173,,
1992,8,,,,89.90446023,64.91373114,,,90.83674287,,,,70.52801892,,121.5886061,70.07499695,,,,,,,122.4071178,,
1992,9,,,,126.9112692,205.4592697,,,220.3040838,,,,168.7973598,,104.4695042,67.21442413,,,,,,,141.4432517,,
1992,10,,,,82.98873252,254.3539215,,,165.472893,,,,152.1862007,,95.32143702,94.09913635,,,,,,,161.2542436,,
1992,11,,,,135.0963775,132.2935823,,,139.1133084,,,,126.6417045,,95.47983666,115.8377609,,,,,,,108.1500624,,
1992,12,,,,125.3481722,112.216303,,,121.1379767,,,,188.6529455,,81.01321723,127.0930176,,,,,,,87.87209519,,
1993,1,,,,128.7315597,102.5922561,53.08919525,,129.5369966,178.7527487,,,153.8927433,,63.22166477,78.63812256,,,,,,,83.46497781,,
1993,2,,,,78.5081202,91.44817481,32.65639496,,99.14981897,114.2130407,,,142.4719175,,83.72870827,62.4916687,,,,,,,106.9761211,,
1993,3,,,,123.4763789,120.1546766,68.95227051,,142.0204083,139.1031009,,,54.51238487,,79.76223237,50.93001175,,,,,,,109.7968136,,
1993,4,,,,76.80232639,89.43315845,62.09404755,,129.2575943,56.50121227,,,43.42172535,,79.48866823,51.74676514,,,,,,,89.65112959,,
1993,5,,,,113.6884236,108.1047185,94.27544403,,163.3103227,120.8239988,,,61.66616674,,79.30904923,35.01927185,,,,,,,133.505769,,
1993,6,,,,56.74964798,86.66848484,65.2494278,,119.8784573,88.19376003,,,61.19514111,,87.62083505,77.18458557,,,,,,,120.6800583,,
1993,7,,,,75.42728734,121.6606745,57.47238159,,114.9053996,97.81392018,,,78.92713279,,90.3677103,68.02714539,,,,,,,106.5029878,,
1993,8,,,,91.92247148,109.6159402,53.18274689,,63.69197915,123.0051111,,,88.24462368,,99.13636926,185.0961304,,,,,,,115.57618,,
1993,9,,,,91.64659012,128.0231274,75.97728729,,88.68943155,170.8386394,,,64.02359903,,98.1199589,74.04455566,,,,,,,116.0272916,,
1993,10,,,,99.83420659,124.1698607,48.84930038,,88.74532544,103.0076433,,,56.17382292,,89.99311781,64.39230347,,,,,,,78.82250779,,
1993,11,,,,36.05482881,105.7496272,77.71606445,,126.6450605,93.76765932,,,26.11864986,,96.75314747,109.665123,,,,,,,89.25749666,,
1993,12,,,,143.6617664,92.60972047,93.59331512,,105.4830135,39.29359552,,,61.51516218,,129.8338622,49.16217422,,,,,,,77.27201262,,
1994,1,,,,104.1311001,76.55685096,84.06943512,,109.1822061,94.05158523,,,47.31993236,,110.7828167,83.14531708,,,312.8876091,,,,82.29279233,,
1994,2,,,,158.2762473,69.11225583,41.64948654,,95.94908537,46.18509948,,,43.29158124,,97.29705812,61.29515457,,,229.4243749,,,,96.14565341,,
1994,3,,,,107.2480548,140.4945371,84.89714813,,78.75139413,104.7105734,,,29.42298951,,92.97092576,28.13357735,,,177.6276189,,,,83.22688321,,
1994,4,,,,110.3231377,161.9582453,61.83404541,,74.15968584,74.1119339,,,41.15721984,,98.49529683,44.39804459,,,100.2562409,,,,106.3544523,,
1994,5,,,,122.6108206,115.2581892,82.81485748,,86.55761724,59.1260118,,,54.66485066,,93.39654122,45.75222397,,,119.0542861,,,,94.503876,,
1994,6,,,,113.0046367,186.3149079,39.78335953,,136.3363496,81.18618771,,,42.99191639,,87.17096629,94.24958038,,,139.9515395,,,,87.46889797,,
1994,7,,,,75.21645444,132.9911868,74.13777924,,95.0013973,95.34849977,,,43.0618646,,93.64020443,160.6613464,,,83.86353154,,,,75.43204599,,
1994,8,,,,63.97792292,133.9589615,62.37543106,,115.1094655,68.05472093,,,45.40750337,,68.36388763,90.06111908,,,82.39778784,,,,88.99729445,,
1994,9,,,,39.36958117,126.1141204,59.28423691,,77.29765072,46.68276921,,,53.07754875,,64.69488756,62.24712372,,,97.43924281,,,,85.29349647,,
1994,10,,,,47.87550398,88.68996921,48.44005966,,148.322447,73.98386267,,,23.89787678,,65.88070853,43.92985916,,,88.98473165,,,,61.68622432,,
1994,11,,,,40.91065346,93.38709939,45.12579727,,98.5887556,114.6206583,,,18.91168169,,82.96432794,53.13112259,,,45.36542357,,,,94.68728009,,
1994,12,,,,41.50466519,101.5999884,106.2481003,,115.6113176,113.4272801,,,101.1824087,,67.40073576,57.01769257,,,70.38546397,,,,94.76318667,,
1995,1,,,,58.10653126,194.2714276,86.12602234,,150.7179552,107.0569811,,,38.99358899,,58.97435074,86.16311646,,,85.99311335,,,,122.4063772,292.424891,
1995,2,,,,60.68673418,126.4515863,92.81467438,,85.12711279,133.1592206,,,66.83560235,,81.34686174,61.41931534,,,170.0216321,,,,100.5155575,196.9392123,
1995,3,,,,47.97483838,162.7197706,79.89568329,,124.2191463,98.76192422,,,63.366666,,123.8680419,69.10100555,,,109.7327943,,,,86.48618207,123.2826207,
