date,country,year_week,close,open,high,low,adjusted_close,volume,index_name,ticker,currency,source,return_lcu,dlog_fx,return_usd
2020-02-14,Vietnam,2020-W07,937.45,934.38,943.11,926.61,937.45,801953270,VN-Index,VNINDEX,VND,vnstock,-0.3514006384586818,0.0,-0.3514006384586818
2020-02-21,Vietnam,2020-W08,933.09,938.52,940.53,925.86,933.09,837822330,VN-Index,VNINDEX,VND,vnstock,-0.46617638713661147,0.0,-0.46617638713661147
2020-02-28,Vietnam,2020-W09,882.19,917.49,917.49,872.46,882.19,892932060,VN-Index,VNINDEX,VND,vnstock,-5.609420690911763,0.0,-5.609420690911763
2020-03-06,Vietnam,2020-W10,891.44,878.43,898.43,877.31,891.44,930499360,VN-Index,VNINDEX,VND,vnstock,1.0430680430322463,0.0,1.0430680430322463
2020-03-13,Vietnam,2020-W11,761.78,875.8,875.8,723.42,761.78,1394665620,VN-Index,VNINDEX,VND,vnstock,-15.718033264879825,0.0,-15.718033264879825
2020-03-20,Vietnam,2020-W12,709.73,758.28,758.59,709.73,709.73,1137061250,VN-Index,VNINDEX,VND,vnstock,-7.077318407019846,0.0,-7.077318407019846
2020-03-27,Vietnam,2020-W13,696.06,694.77,703.22,652.27,696.06,1029452070,VN-Index,VNINDEX,VND,vnstock,-1.944875250443143,0.0,-1.944875250443143
2020-04-03,Vietnam,2020-W14,701.8,663.91,701.8,649.1,701.8,823407390,VN-Index,VNINDEX,VND,vnstock,0.8212599633744395,0.0,0.8212599633744395
2020-04-10,Vietnam,2020-W15,757.94,716.22,765.87,715.39,757.94,1351332570,VN-Index,VNINDEX,VND,vnstock,7.695576368745832,0.0,7.695576368745832
2020-04-17,Vietnam,2020-W16,789.6,762.99,790.95,753.85,789.6,1170285600,VN-Index,VNINDEX,VND,vnstock,4.092226128269891,0.0,4.092226128269891
2020-04-24,Vietnam,2020-W17,776.66,796.17,797.49,749.97,776.66,1312037510,VN-Index,VNINDEX,VND,vnstock,-1.652381395546256,0.0,-1.652381395546256
2020-04-29,Vietnam,2020-W18,769.11,774.63,785.74,763.66,769.11,664942220,VN-Index,VNINDEX,VND,vnstock,-0.9768671974953409,0.012797269933212892,-0.9896644674285537
2020-05-08,Vietnam,2020-W19,813.73,766.14,825.72,760.04,813.73,1187469400,VN-Index,VNINDEX,VND,vnstock,5.639461345892494,0.0,5.639461345892494
2020-05-15,Vietnam,2020-W20,827.03,818.26,839.59,812.48,827.03,1429905060,VN-Index,VNINDEX,VND,vnstock,1.6212354413247452,0.0,1.6212354413247452
2020-05-22,Vietnam,2020-W21,852.74,827.49,862.73,823.08,852.74,1319928600,VN-Index,VNINDEX,VND,vnstock,3.0613724402623563,0.0,3.0613724402623563
2020-05-29,Vietnam,2020-W22,864.47,852.9,875.35,849.12,864.47,1463780590,VN-Index,VNINDEX,VND,vnstock,1.3661907917594813,-0.012869736831650457,1.3790605285911317
2020-06-05,Vietnam,2020-W23,886.22,868.97,888.32,868.97,886.22,2026926910,VN-Index,VNINDEX,VND,vnstock,2.484862439849661,0.0,2.484862439849661
2020-06-12,Vietnam,2020-W24,863.52,888.7,905.65,841.44,863.52,2668153700,VN-Index,VNINDEX,VND,vnstock,-2.5948167909410667,0.0,-2.5948167909410667
2020-06-19,Vietnam,2020-W25,868.56,867.52,868.56,832.47,868.56,1712955580,VN-Index,VNINDEX,VND,vnstock,0.5819609053264002,0.0,0.5819609053264002
2020-06-26,Vietnam,2020-W26,851.98,871.56,873.2,849.65,851.98,1584224180,VN-Index,VNINDEX,VND,vnstock,-1.927361554820749,0.0,-1.927361554820749
2020-07-03,Vietnam,2020-W27,847.61,846.26,848.16,821.92,847.61,1236481110,VN-Index,VNINDEX,VND,vnstock,-0.514242803290825,-0.26686194978938105,-0.2473808535014439
2020-07-10,Vietnam,2020-W28,871.21,851.47,878.53,850.04,871.21,1146946420,VN-Index,VNINDEX,VND,vnstock,2.7462425630962475,-0.017251789915982682,2.7634943530122302
2020-07-17,Vietnam,2020-W29,872.02,874.85,876.83,860.28,872.02,1065197990,VN-Index,VNINDEX,VND,vnstock,0.09293094523316435,0.0043134125570074185,0.08861753267615693
2020-07-24,Vietnam,2020-W30,829.16,870.66,871.64,816.65,829.16,1304735260,VN-Index,VNINDEX,VND,vnstock,-5.039921929446466,-0.01725476667208991,-5.022667162774376
2020-07-31,Vietnam,2020-W31,798.39,794.14,814.4,779.82,798.39,1340790830,VN-Index,VNINDEX,VND,vnstock,-3.7815940262595604,0.0,-3.7815940262595604
2020-08-07,Vietnam,2020-W32,841.46,796.86,844.33,796.47,841.46,1176934190,VN-Index,VNINDEX,VND,vnstock,5.254127846718042,-0.004315273912685834,5.258443120630727
2020-08-14,Vietnam,2020-W33,850.74,845.11,860.32,840.35,850.74,1220879880,VN-Index,VNINDEX,VND,vnstock,1.0968080641626254,-0.0043150877048285735,1.101123151867454
2020-08-21,Vietnam,2020-W34,854.78,848.08,856.99,841.62,854.78,1077361870,VN-Index,VNINDEX,VND,vnstock,0.47375669078352395,0.0,0.47375669078352395
2020-08-28,Vietnam,2020-W35,878.98,860.35,885.86,860.35,878.98,1568141570,VN-Index,VNINDEX,VND,vnstock,2.7918018412408556,0.0,2.7918018412408556
2020-09-04,Vietnam,2020-W36,901.54,882.13,904.32,879.26,901.54,1212886550,VN-Index,VNINDEX,VND,vnstock,2.5342267854887033,0.0,2.5342267854887033
2020-09-11,Vietnam,2020-W37,888.97,903.85,905.8,881.57,888.97,1439070160,VN-Index,VNINDEX,VND,vnstock,-1.4040922989926847,-0.008630361617511212,-1.3954619373751735
2020-09-18,Vietnam,2020-W38,900.95,891.89,902.11,890.93,900.95,1551419350,VN-Index,VNINDEX,VND,vnstock,1.3386273010097574,-0.03452144679144609,1.3731487478012034
2020-09-25,Vietnam,2020-W39,908.27,904.5,914.51,902.47,908.27,1658519820,VN-Index,VNINDEX,VND,vnstock,0.8091929054884518,-0.0043132265097620215,0.8135061319982139
2020-10-02,Vietnam,2020-W40,909.91,911.2,917.49,897.72,909.91,1898987720,VN-Index,VNINDEX,VND,vnstock,0.18040022932506158,0.030192585792987888,0.1502076435320737
2020-10-09,Vietnam,2020-W41,924.0,913.77,924.0,910.96,924.0,2098520790,VN-Index,VNINDEX,VND,vnstock,1.5366378120725686,-0.06035003200670183,1.5969878440792704
2020-10-16,Vietnam,2020-W42,943.3,930.78,946.23,923.28,943.3,1864823500,VN-Index,VNINDEX,VND,vnstock,2.0672294014123205,-0.02157730076339733,2.088806702175718
2020-10-23,Vietnam,2020-W43,961.26,945.01,961.26,933.78,961.26,1725599200,VN-Index,VNINDEX,VND,vnstock,1.886055823087041,-0.004314715337323058,1.890370538424364
2020-10-30,Vietnam,2020-W44,925.47,967.52,970.15,911.2,925.47,1791976020,VN-Index,VNINDEX,VND,vnstock,-3.7943207309359224,-0.025892202276446025,-3.7684285286594763
2020-11-06,Vietnam,2020-W45,938.29,926.09,945.51,924.14,938.29,1340917170,VN-Index,VNINDEX,VND,vnstock,1.375735308968798,-0.0043149015130372805,1.3800502104818353
2020-11-13,Vietnam,2020-W46,966.29,942.15,966.29,942.15,966.29,1784807760,VN-Index,VNINDEX,VND,vnstock,2.940492653173217,0.0,2.940492653173217
2020-11-20,Vietnam,2020-W47,990.0,970.11,990.0,950.5,990.0,2108076640,VN-Index,VNINDEX,VND,vnstock,2.42409469298968,0.06906077622548132,2.355033916764199
2020-11-27,Vietnam,2020-W48,1010.22,991.87,1010.22,984.92,1010.22,2048766580,VN-Index,VNINDEX,VND,vnstock,2.0218464769127764,0.017269665874876924,2.0045768110378996
2020-12-04,Vietnam,2020-W49,1021.49,1011.82,1025.17,988.71,1021.49,2347991410,VN-Index,VNINDEX,VND,vnstock,1.1094216786787596,-0.017295801487318775,1.1267174801660784
2020-12-11,Vietnam,2020-W50,1045.96,1024.34,1045.96,1022.14,1045.96,2354498060,VN-Index,VNINDEX,VND,vnstock,2.3672778291332603,0.0,2.3672778291332603
2020-12-18,Vietnam,2020-W51,1067.46,1048.97,1068.56,1048.97,1067.46,2714152110,VN-Index,VNINDEX,VND,vnstock,2.0346870698855493,-0.025948190259328468,2.0606352601448776
2020-12-25,Vietnam,2020-W52,1084.42,1071.62,1094.09,1046.89,1084.42,3229037680,VN-Index,VNINDEX,VND,vnstock,1.5763287158521437,-0.021619284485892162,1.597948000338036
2020-12-31,Vietnam,2020-W53,1103.87,1094.37,1108.83,1083.9,1103.87,2283736050,VN-Index,VNINDEX,VND,vnstock,1.7776905447089515,-0.13850417726616845,1.9161947219751199
2021-01-08,Vietnam,2021-W01,1167.69,1113.77,1176.33,1113.59,1167.69,3444085200,VN-Index,VNINDEX,VND,vnstock,5.620525092119644,-0.05198405939279849,5.672509151512442
2021-01-15,Vietnam,2021-W02,1194.2,1176.47,1200.82,1175.0,1194.2,3516345800,VN-Index,VNINDEX,VND,vnstock,2.244906691134573,0.0,2.244906691134573
2021-01-22,Vietnam,2021-W03,1166.78,1198.79,1200.85,1098.05,1166.78,3666588000,VN-Index,VNINDEX,VND,vnstock,-2.3228687164415747,-0.05202462616256589,-2.2708440902790086
2021-01-29,Vietnam,2021-W04,1056.61,1164.2,1172.18,998.33,1056.61,3462387500,VN-Index,VNINDEX,VND,vnstock,-9.9182147943532,-0.04335761427617847,-9.874857180077022
2021-02-05,Vietnam,2021-W05,1126.91,1056.61,1126.91,1029.36,1126.91,2593164300,VN-Index,VNINDEX,VND,vnstock,6.441370381584107,-0.021722602453178766,6.463092984037285
2021-02-09,Vietnam,2021-W06,1114.93,1127.06,1127.06,1075.1,1114.93,1075237600,VN-Index,VNINDEX,VND,vnstock,-1.0687751166388166,-0.1305199228142756,-0.938255193824541
2021-02-19,Vietnam,2021-W07,1173.5,1127.46,1178.18,1127.46,1173.5,1568863000,VN-Index,VNINDEX,VND,vnstock,5.1199113636680815,0.021727322193022567,5.098184041475059
2021-02-26,Vietnam,2021-W08,1168.47,1173.57,1185.58,1148.88,1168.47,2618503000,VN-Index,VNINDEX,VND,vnstock,-0.429553558269671,0.021717884763391825,-0.4512714430330628
2021-03-05,Vietnam,2021-W09,1168.69,1176.93,1196.16,1155.6,1168.69,2808229500,VN-Index,VNINDEX,VND,vnstock,0.018826267833598538,-0.004344143009874705,0.023170410843473245
2021-03-12,Vietnam,2021-W10,1181.56,1180.33,1186.52,1150.94,1181.56,2879108300,VN-Index,VNINDEX,VND,vnstock,1.0952135853926412,-0.004338112487940944,1.0995516978805822
2021-03-19,Vietnam,2021-W11,1194.05,1183.89,1200.94,1171.76,1194.05,2995549600,VN-Index,VNINDEX,VND,vnstock,1.0515290882027506,0.08674908373121663,0.964780004471534
2021-03-26,Vietnam,2021-W12,1162.21,1200.05,1200.21,1137.9,1162.21,3073917400,VN-Index,VNINDEX,VND,vnstock,-2.7027525147663085,0.017329520882108686,-2.720082035648417
2021-04-02,Vietnam,2021-W13,1224.45,1169.65,1228.29,1165.78,1224.45,3120041600,VN-Index,VNINDEX,VND,vnstock,5.216839859046633,-0.03901254953140513,5.255852408578038
2021-04-09,Vietnam,2021-W14,1231.66,1245.28,1246.4,1227.6,1231.66,3166145900,VN-Index,VNINDEX,VND,vnstock,0.5871089414177194,-0.021656740745171026,0.6087656821628904
2021-04-16,Vietnam,2021-W15,1238.71,1236.79,1268.02,1227.14,1238.71,4231549500,VN-Index,VNINDEX,VND,vnstock,0.5707662527652853,-0.02166800294495713,0.5924342557102423
